group_name,group_path
admin,/admin
CM_Manager,/CM_Manager
grafanaAdmin,/grafanaAdmin
HDM_ActionManager,/HDM_ActionManager
HDM_AlarmManager,/HDM_AlarmManager
HDM_CustomfunctionManager,/HDM_CustomfunctionManager
HDM_DeviceManager,/HDM_DeviceManager
HDM_DeviceParameterManager,/HDM_DeviceParameterManager
HDM_FileServerManager,/HDM_FileServerManager
HDM_FirmwareManager,/HDM_FirmwareManager
HDM_PolicyManager,/HDM_PolicyManager
HDM_SingleDeviceManager,/HDM_SingleDeviceManager
opentsdbadmin,/opentsdbadmin
